Rating,Title,Body
5.0 out of 5 stars,"Smooth Performance, Great battery, Good Camera (with one miss)","
I’ve been using the OnePlus 15R for some time now, and it’s a really solid all-rounder with strong performance and reliable battery life.👍 What I liked:Fast & smooth performance: Handles everything easily — multitasking, gaming, daily use, all super fluid.No heating issues: Even during longer gaming sessions, the phone stays stable without noticeable heating.Great display: The AMOLED screen is bright, smooth, and perfect for content and gaming.Good main camera: The primary lens performs really well and captures sharp, detailed photos. It’s actually the same main sensor as the OnePlus 15, which is impressive at this price.Strong battery life: Easily lasts a full day with heavy usage.Clean software: OxygenOS is smooth and user-friendly.👎 What could be better:No telephoto lens: This is the biggest downside. While the main camera is great, the lack of a dedicated telephoto camera is disappointing for zoom shots.No wireless charging: Would have made it more complete.🤔 Final verdict:The OnePlus 15R is a powerful and reliable smartphone with great performance, solid battery life, and a surprisingly good main camera. The only real drawback is the missing telephoto lens.👉 Best for: Performance users, gamers, and casual photography👉 Not ideal for: People who want advanced zoom photographyEven though I used Chatgpt to write this review but written information is given by me with personal experience 😁
Read more"
5.0 out of 5 stars,"Great device, average camera.","
Great device, average camera.
Read more"
5.0 out of 5 stars,Absolutely Good,"
No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this price
Read more"
4.0 out of 5 stars,Best deal at 8000 segment,"
According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphone
Read more"
5.0 out of 5 stars,Good entry level phone,"
This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.
Read more"
5.0 out of 5 stars,Good product in affordable Prices,"
A very Good product in affordable Prices and For Gifting this to someone special is very satisfactory. Very Attractive Product at affordable Prices.
Read more"
4.0 out of 5 stars,"A good, solid phone at this price-point","
This is marketed as a budget phone. Nonetheless, it has the quality and feel of a midrange product. It does all the essentials well, including Internet browsing, WhatsApp, etc. The only slight issue has been dropped wi-fi connection despite close proximity to the router. It'll switch to mobile data connection and this could consume a lot of data if you don't realise. You can change connection settings to avoid rapid switching from WiFi to data.
Read more"
5.0 out of 5 stars,A quality phone with decent specs.,"
This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.
Read more"
3.0 out of 5 stars,Ok,"
It's ok for the price but it would be great if it has 5g
Read more"
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"
**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ✅ Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ❌ Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### 📌 ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.
Read more"
5.0 out of 5 stars,Value for money,"
Good quality product
Read more"
4.0 out of 5 stars,Little bit slow in performence.,"
Camera in the phone is best in this price segment. OIS is good. Daylight photography is perfect. Camera is struggling in low light.
Read more"
5.0 out of 5 stars,Nice phone,"
Good product. I can purchase this phone. This phone is not for gaming but better for daily use. No lag issue if your budget around 16k, I will recommend you.
Read more"
5.0 out of 5 stars,Samsung Galaxy M17 5G Mobile - Good mobile in middle range.,"
Received instrument in 5 hrs. Thanks for quick delivery.Good mobile features as camera, Good charging speed.
Read more"
3.0 out of 5 stars,Premium look & build quality but performance bit slow,"
Pro :1. Overall phone is good in terms of build quality-premium look and UI,2. Camera quality is good with natural colours if compared with Chinese brands with high camera specifications.Cons:1. phone gets heated quickly with normal usage2. performance is slow/lagging.3. Battery drains quickly.
Read more"
4.0 out of 5 stars,Best option in this budget,"
The look, the design, body size, performance, specially the amoled colors are awesome. Battery seems little poor but yes overall it's good under this budget.
Read more"
5.0 out of 5 stars,Very good,"
Value for money
Read more"
4.0 out of 5 stars,Average Phone Samsung M17,"
Average phone, Average camera, Battery good (once fully charged running 6-8 hrs fully load and standby 30-32 hrs), Display average ( only 1080 pixel video running_ not 1440 and up), Heat Level good not more heating after playing games and other works, Speed Average.Good Network Connectivity_best net SPEED..
Read more"
5.0 out of 5 stars,"Great performance, best value for money phone, sleek and good battery","
Its sleek and great phone
Read more"
4.0 out of 5 stars,"Overall you can should buy realme 15x , or u can buy this also but i suggest realme 15x .","
First of all, I would like to talk about my Realme Narzo 80 Pro 5G. Overall, it is a very good phone in the 20–22k INR price range. I have been using this phone since 17 August 2025, and today is 28 November 2025—almost 4 months. The gaming performance is very good. The camera quality is also very good in bright environments such as sunlight or outdoors, especially when taking photos of people. Nature photography is also decent. Also sound quality is also good , i'm reading some negative comments , but i want to tell to whomever reading this review , The phone has dual stereo speaker support also , with 300% voice boost .I have the 8 GB RAM + 128 GB storage variant. I strongly suggest buying the 256 GB storage variant because in the 128 GB version, a large portion of the storage is taken by the system—around 30–40 GB. So, you only get about 60–70 GB of usable space, which is quite low for modern usage. Even though the phone is advertised as 128 GB, you don’t actually get the full 128 GB.In terms of performance, I did not face any heating issues. The phone stays cool during normal and even heavy tasks. It only heats slightly while charging, which is completely normal for fast-charging phones. The connectivity is also very good, with strong Wi-Fi and Bluetooth performance. Storage transfer speeds are fast as well, thanks to UFS 3.1 storage.I also appreciate the battery capacity, which is quite good for modern phones (6000 mAh). The battery lasts around 20–21 hours with moderate usage such as YouTube, Instagram Reels, or studying on the PW app. However, I have one issue with the screen. Although the display is very bright, easy to use in sunlight, and has excellent color quality, I would advise avoiding phones with curved displays. If a curved screen breaks after dropping on a cemented road or anywhere else, it is very difficult to find a duplicate replacement screen in the market.Additionally, you cannot expand the memory using an SD card, and there is no audio jack on this phone. On the positive side, the 80W charging is amazing—it charges the phone up to 25% in just 10 minutes and more than 60% in under 30 minutes.Overall, the phone is very good, but I still recommend checking out the Realme 15x. It offers almost the same features and is even better in some aspects because it doesn’t have a curved display. The Realme 15x also comes with 60W SUPERVOOC charging and a massive 7000 mAh battery, which is extremely impressive and lasts even longer.
Read more"
5.0 out of 5 stars,Great device at this range,"
Worth every penny! Camera is surprisingly good. Phone is lightweight and sleek and very comfortable. Buy this if p3 ultra and p4 are costlier.
Read more"
5.0 out of 5 stars,What a phone,"
Absolutely amazing mobile. I highly recommend this mobile if you are looking for mid range budget mobile. I don't want to call it is as budget mobile because it delivering premium quality.it will easily match with any flagship mobiles because forget about the configuration just look the performance and display quality it is giving is important then anything else. The display is great and touch is fantastic and battery is very good all day long. I got refreshed by this phone after a long period of redmi note 14 usage which irritated me with lagging experience but this phone given me how much I wasted time with my previous one.The bgmi play really amazing I don't know how much fps it is giving but I felt awesome. No heat issues . You can pick 128gb varient (it will save 2k) only if you are a intelligent storage keeper because now a days everyone using Googleone or other cloud storages. If you are reckless user just go for 256gb. But I only facing one issue with this phone the tampered glass edges are getting dirty scratches easily while taking in and out from my pocket because of curves . But this issue is nothing in front of my previous phone experience.Note : My sincere request is to everyone not to buy redmi phones even top end phone.my previous phone is redmi note 14 5g . I can't say how much the phone irritated me for a long period.there are plenty things to say about this mobile but I can't explain my frustration here.after 1 year of use I exchanged it to 9.5k but I purchased at 22k
Read more"
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,"
Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.
Read more"
4.0 out of 5 stars,Amazing product,"
Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.
Read more"
5.0 out of 5 stars,Very good 👍,"
At this price this phone is good 😊
Read more"
4.0 out of 5 stars,Good,"
The product is good loved it value for money
Read more"
5.0 out of 5 stars,"Marvellous , awe inspiring , built like steel , GO FOR IT..!!!","
Alright everyone , please read this review carefully as it's 6 july 2025 today and on the 23rd of August 2025 , i will have spent 2 years using these awesome and marvellous earbuds... These have been 2 years of extreme , rigorous and very very careless usage and these earphones are still in prime condition, needless to add I'm an avid consumer of music ,l wear my earbuds almost all day long , I've worn them in the gym , while running , they've seen a lot of sweat , a lot of earwax , most of the days ,i fall asleep while wearing them and get up with them either under them or on the floor, I've been very very merciless with these earbuds , I have not used them ,I have exploited them, after allll of this ,  they're still in prime condition, the mic on these works extremely well, they charge pretty quickly , the box takes a little longer to get fully charged but it lasts for a long time , call quality, voice quality , everything is awesome , their response to your touch is also very durable and awesome , it happens ever so oftent that I'm in the gym and my phone is drenched in sweat and it's screen starts malfunctioning and as a result I can't take calls , but thanks to these earphones , even after all the sweat and moisture they respond to my touch instantly amd I'm able to take calls , in the gym, while driving, 2 wheelers , 4 wheelers , everything...you know I lost their charging box somewhere , so I purchased another set of the same earphones just for the box and im still using the old earbuds with the new box , I have dropped them quite roughly several times , one or two times I have thrown them away because I was angry due to some reason and they're still going one without an ounce of reduction in quality ,  this is why I'm calling them marvellous... After such rough and extreme usage , i just can't find any big noticable flaw in them.... But yes , I'll like to add that everything depreciates with time , after 2 years of usage , their batter life isn't as good as when they were new , but the sound quality ,the durability, it's still 90% of how it was when they were new...There may be some people who are extra extra critical and would say they give 4.6 to music , 3. Blah blah blah to sound , to bass , don't bother listening to nerds and wannabe tech gurus , go for it , best in class , marvel of engineering , this is gonna be one of those few purchases that youre gonna be proud of , over and out...
Read more"
4.0 out of 5 stars,Overall review after 1 year of using.,"
one of the best product bought buy me, in the starting i only had issue with the fitting of the earbuds in my ear as they were falling of but soon after they started fitting perfectly the sound quality is quite decent and battery life is also quite good overall this product is worth to buy and lives upto its expectation.
Read more"
5.0 out of 5 stars,Highly recommended,"
Worth buying under ₹1600 budget. Base quality is so good. Connectivity is good. 3d Spatial audio is always enabled(can't control). Sound effect are nice. Overall best
Read more"
5.0 out of 5 stars,"OnePlus Nord Buds 3r: Stylish, Sturdy & Smart! ⭐⭐⭐⭐⭐","
⭐⭐⭐⭐⭐ Absolutely Loving These Buds! A Great Buy! 🔥I just picked up these OnePlus Nord Buds 3r from Amazon, and I'm very impressed. Here’s a quick breakdown to help you decide! 👇✨ Design & Comfort• Case: Feels incredibly sturdy & premium in hand. Sleek finish! 👌• Buds: Super lightweight and stylish. 💎• Fit: Extremely comfortable, I can wear them for hours without any pain. 😌📱 Amazing App Integration (HeyMelody)• Official Support: Yes, it works seamlessly with the 'HeyMelody' app! 🎉• Features: You can easily customize touch controls, check precise battery levels, and manage EQ settings for the perfect sound. 🎧 So convenient!🎮 A Note on Gaming Mode• While most things are perfect, the Gaming Mode has a tiny bit of latency. 🤏• If you are a very serious gamer, you might notice a very minor sound lag during fast-paced games. For movies and music, it’s flawless! 🎬🎶💰 Final Verdict• Overall, this is a top-tier product with a high-quality feel. 🏆• If you want sleek design + great app support, this is a perfect choice! Highly recommended. ✅
Read more"
5.0 out of 5 stars,Sound,"
Among the myriad of audio accessories available on the market today, the particular model of air buds offered by OnePlus stands out remarkably as one of the preeminent choices. Its exceptional qualities elevate it to a top-tier position within its category, making it an incredibly compelling option for discerning users seeking superior sound and functionality.
Read more"
4.0 out of 5 stars,Honest Review After 1 Week of Use,"
I am sharing my honest review after using these earbuds for one week. Previously, I used the boAt Nirvana Ion, so my comparison is based on that experience.Pros:The sound quality is good.Battery backup / playback time is also good.The build quality feels solid and premium.Fit perfectly in ears not loose at all.Cons:These earbuds do not have an ear-detection sensor. Because of this, I have to manually pause the music before removing the earbuds from my ears. This feature was available in the Nirvana Ion and was very useful.The Bluetooth connectivity range seems weak. After moving just 4–5 steps away from the phone, the music starts glitching or disconnecting. This was not an issue with the Nirvana Ion—even from two rooms away, it stayed connected.
Read more"
5.0 out of 5 stars,Good Experience,"
Unbelievable experience OnePlus earbuds sound is really osm and sound is also very smooth it doesn't that high or low equal so I think this one is best earbuds under 1800 Don't think too much just go for it
Read more"
3.0 out of 5 stars,Good not great. Missing features.,"
Pros:Good build quality. Compact, hard and strong. Dual channel mode. Good battery life. Average sound quality.Cons:No light indicator on the buds to know if it's on or off. Sometimes earbuds may be turned on inside the case and not having indicators make it difficult to figure out if it's on or off.There's only one light indicator on the case. So you can't find out how much battery is left in the case. Makes you feel like you have to keep it constantly charging.The shape of the buds aren't fit for my ears. Boat's Airdopes 141 fit perfectly but not this.It hurts a lil after 45mins of use.Overall, good battery, average audio, great build quality, but compromised features and in-ear fitting.Audio 3.5/5Battery 4.5/5Fit in ear 2.5/5
Read more"
5.0 out of 5 stars,Great product,"
Fire-Boltt Aero earbuds offer good sound quality with clear vocals and decent bass for music and calls. The earbuds are lightweight and comfortable to wear for long periods. Bluetooth connectivity is fast and stable, and there are no major connection issues. The battery backup is satisfactory and lasts long enough for daily use. Touch controls are responsive and easy to use. Overall, these earbuds are a good budget-friendly choice for everyday listening and calling.
Read more"
4.0 out of 5 stars,Very Good product for 700 Rs.,"
Using for a week.Great budget TWS earbuds for daily use.Lightweight and comfortable, making them easy to wear for long hours.Sound quality is good for the price though not very premium.Call quality is decent in normal environments.Battery backup is impressive, lasting many hours with the charging case.Connectivity is stable.Charging Cable received is the only bad part being very tight and not working sometimes.Manual hard copy was missing I guess.
Read more"
3.0 out of 5 stars,All,"
Good quality
Read more"
5.0 out of 5 stars,It's very good 🔥🔥🔥,"
The Fire-Boltt FirePods Aero are stylish and lightweight wireless earbuds that deliver a good listening experience for everyday use. The design is modern and compact, and the charging case looks premium with a smooth glossy finish and LED indicator.The earbuds fit comfortably in the ears and are suitable for long listening sessions without discomfort. Sound quality is clear with decent bass, making them good for music, movies, and calls. The Bluetooth connectivity is stable and pairs quickly with smartphones.Another good feature is the long battery life, allowing several hours of playback on a single charge, while the charging case provides additional backup power. The touch controls are responsive and make it easy to play music, pause, or answer calls.Overall, the Fire-Boltt FirePods Aero are a good budget-friendly option for people looking for stylish wireless earbuds with decent sound quality and reliable performance.⭐ Pros:Stylish and compact designComfortable fitGood sound clarityStable Bluetooth connectionPortable charging case
Read more"
4.0 out of 5 stars,Great budgeting friendly purchase,"
The sound quality is surprisingly good for the price, with clear audio and decent bass. I also really liked the color and built quality  it feels strong and premium. Overall, a great budget-friendly option.
Read more"
3.0 out of 5 stars,Call,"
Okay so its control & sound is Good but I am facing issues on call during conversation. My voice doesn't reach the receiver and it catches background noises more. Not effective for calling
Read more"
4.0 out of 5 stars,Good quality product,"
Good sound quality and comfortable to wear on this price range . Battery lifee is decent and the case is compact . Easy to connect and works well for music and calls . Worth buying 🔥
Read more"
3.0 out of 5 stars,Sound Good But case quality good,"
Sound quality  is good but case quality is not up to the mark .kindly improve the case quality like scratches.
Read more"
5.0 out of 5 stars,Great Protection and Style for My Airdopes 300!,"
I recently purchased this silicone case cover for my Airdopes 300, and I'm very pleased with it! The case has a soft-touch feel and fits perfectly around the earbuds’ charging case, providing excellent protection from scratches and minor drops. I love the color options and went with the navy blue, which looks sleek and doesn’t show dirt easily.The case has a built-in carabiner, making it easy to clip onto my bag or belt loop when I’m on the go. The only minor downside is that the cover can sometimes be a little difficult to clean if dirt gets trapped in the silicone, but it’s not a big issue. Overall, it's a fantastic accessory for keeping my Airdopes safe and looking stylish. Highly recommend it!
Read more"
1.0 out of 5 stars,,"
Product kharab haiEs chain nhi hai rabbar ka hai
Read more"
4.0 out of 5 stars,Buds,"
Amazing product I want to like to same this product my buds safety and gave premium loook. Provide this case
Read more"
5.0 out of 5 stars,Good,"
Very good product
Read more"
1.0 out of 5 stars,Mo item it's just cover,"
It's dammy nothing there in cover ad there is no blootooth it's just cover
Read more"
5.0 out of 5 stars,Quality❤️‍🔥,"
I recently bought the boAt Airdopes 300 case cover to protect my earbuds and case, and I must say it’s a great purchase. The case cover is made of durable, high-quality silicone that feels premium and offers excellent protection. It fits the boAt Airdopes 300 case perfectly, providing a snug, secure fit that prevents any accidental slips or drops. I don’t have to worry about my charging case getting scratched or damaged.
Read more"
1.0 out of 5 stars,Very,"
Very bad
Read more"
3.0 out of 5 stars,Average,"
Oka, okay product, not as expected but with this price this one is okay
Read more"
5.0 out of 5 stars,Sarround Sound is the Best Experience,"
Very Nice product in budget price. Surround sound is great.
Read more"
4.0 out of 5 stars,THE earbuds is really good,"
I AM USING IT FOR 3  MONTHS BUT IT REALLY DOESN'T DISAPPOINT ME infact the product is quite handy and useful the sound quality is also good the battery is also better I think it can last to 5-6 hoursThe only problem I faced was I can't really control the voice that I speak to Google or ai and I think It is good in talking on calls
Read more"
5.0 out of 5 stars,Bluetooth,"
Very good. Sound,  mic, battery are good. Product is so good
Read more"
4.0 out of 5 stars,High Volume,"
Product is good, quality is also good at this price range overall it's good but the bass is too high something it hides the vocals and in full or more than half volume the sound comes outside such as the music is playing on mobile speaker in low volume. Don't use these in more than 60% volume otherwise it can lead to hearing in long time.
Read more"
5.0 out of 5 stars,Must try earpods,"
Best product for music lovers. Sound is just wow. Worth for money. Noise cancellation is superb👌👌. Totally liked the product. 🫶
Read more"
3.0 out of 5 stars,Design and built quality is best but the voice clarity and bass is not as much as good,"
I'm giving this as 3stars because1. the built quality is good2.design is very good3.battery life is also good4. Range of pods are best part5.connectivity is pretty fastThe reason for not giving remaining 2 stars js1. I didn't like the voice clarity of the pods (no clarity while listening songs )2.And the bass is not pretty good for the price range3.the length of pords are pretty bigThe major issue I have faced in this company is right side of pod is high in volume and left side pod volume is low ...while listening songs music is high and voice is low  ..for some songs voice is high music is low ..there is no stability hereI highly recommend take time and go for high priced pods for clarity and bass purpose
Read more"
5.0 out of 5 stars,Impressive performance on a budget.,"
I’ve been using these earbuds for a while now, and I’m honestly impressed. The sound quality is clear with good bass, making music and calls really enjoyable. Battery life is solid and easily lasts through my daily use without frequent charging. For the price, they offer great performance and feel like a true value-for-money product. Definitely a good buy if you want reliable, good-sounding earbuds without spending too much.
Read more"
4.0 out of 5 stars,Good product,"
Good sound quality
Read more"
4.0 out of 5 stars,Nice product,"
Everything is fine....Good fit in ear comfortableSound quality is very nice at this priceNice finishing , butI give 4 star only because of low battery backup and sound leakage..
Read more"
4.0 out of 5 stars,Good Product,"
Product quality is good, standard sound quality, Bass is also good. Reasonable price as per quality
Read more"
3.0 out of 5 stars,Feedback,"
I purchased boAt earbuds, but unfortunately my experience has been very disappointing. Please find my feedback below:There is no proper indication to know whether the earbuds are fully charged or how much battery percentage is currently available. This makes charging very inconvenient.The total battery life is only around 12 hours. Even if I charge the earbuds in the morning at 8 AM, they completely stop working by around 7–8 PM.The touch sensitivity is very poor. Even a slight accidental touch pauses the music or video. Overall, the touch controls do not work properly.Most importantly, after using the earbuds for some time, the audio starts breaking continuously. Whether I am listening to music or watching videos, the sound keeps cutting off, which makes them very difficult to use.Overall, the product does not perform as expected and needs significant improvement in quality and performance.-VIJAY MISHRA, VADODARA
Read more"
4.0 out of 5 stars,Boat Airdopes 219,"
Nice product.Sone features are lacking but it's bass is good and Battery is holy ezz 8 hrs . Although it's Nice .
Read more"
3.0 out of 5 stars,Pros and Cons,"
Not that good, I've used many boat products since last 9 years. And this is the first boat product that actually I didn't like. Because the connection gets week while driving a bike and if phone is around 10 steps away. This is the only issue I am facing right now. Used this one for more than 3 months I believe and still in great shape. And yes I noticed latency while playing bgmi aswell. Apart form the above sound quality and built quality is good and yes I dropped this like 3 to 4 times and I was I like its over but not, great built quality.
Read more"
4.0 out of 5 stars,"Sounds are distorted some times, please solves this issues in future. Thanks you Boat","
I bought Boat Airdopes 219, its good product but some problems face on this, sounds good no doubt but when play music, watch movies sounds are distorted, others no connecting problems, no other issues. Thank you Boat
Read more"
3.0 out of 5 stars,About Bass and Comfortness,"
Bass thoda jyada hai aur ear main bhi uncomfort lagta hai. As compare to Boat 219 Boat 141 is comfortable.Look bohot premium hai.
Read more"
4.0 out of 5 stars,Bass🔊📈,"
Bass is good.good quality and good design.
Read more"
