Rating,Title,Body
4.0 out of 5 stars,really good phone which tries meet everyones expectations budget,got beauty dec 23 upgraded from iqoo3 yes first iqoo phone india after almost 5 years must say previous one really held its groundcoming back 15r pretty good upgrade as i am not very frequent camera user gaming my major priority phone really delivers front performance smooth you can get 110115 avg fps bgmi battery at 7400 mah really good no complaints there camera pretty good as well price has same primary camera as oneplus 15 gives amazing results daylight if you know little about photography then you can make good use camera as well ui smooth haptics are little weak but not deal breaker overall phone bang buck i did consider waiting new iqoo neo 11 but ui has lots ads i wanted little cleaner experience go as new phones are going get pricey anyway read more
5.0 out of 5 stars,good smartphone,phone really good pretty fast meets my expectations i iphone user transitioning android now performance phone excellent so far read more
5.0 out of 5 stars,amazing battery performance okay camera,great phone overall battery best ive ever had smartphone i fully charge morning when i return home evening at 7 pm battery still around 80 i routinely end day at around 65 battery can last 2 full dyas normal usage charging also super fast goes from 0 65 under 30 minutes fast charger included boxthe screen fantastic 120 hz display bright colours performance also top notch phone feels very snappy quick i dont bother closing apps because phone can hold as many apps as i want without slowing down only thing thats not best class camera main camera still very good 50 megapizels takes great photos which are processed ai enhance their features ultrawide not good front camera average price its not bad camera setup at all still very good but certainly below what you expect from 50k phonein summary performace battery screen are amazing camera good but not great if you want reliable fast phone has monster battery super fast charging go one read more
5.0 out of 5 stars,smooth performance great battery good camera one miss,i’ve been using oneplus 15r some time now it’s really solid allrounder strong performance reliable battery life👍 what i likedfast smooth performance handles everything easily — multitasking gaming daily use all super fluidno heating issues even during longer gaming sessions phone stays stable without noticeable heatinggreat display amoled screen bright smooth perfect content gaminggood main camera primary lens performs really well captures sharp detailed photos it’s actually same main sensor as oneplus 15 which impressive at pricestrong battery life easily lasts full day heavy usageclean software oxygenos smooth userfriendly👎 what could be betterno telephoto lens biggest downside while main camera great lack dedicated telephoto camera disappointing zoom shotsno wireless charging would have made more complete🤔 final verdictthe oneplus 15r powerful reliable smartphone great performance solid battery life surprisingly good main camera only real drawback missing telephoto lens👉 best performance users gamers casual photography👉 not ideal people who want advanced zoom photographyeven though i used chatgpt write review but written information given by me personal experience 😁 read more
5.0 out of 5 stars,great device average camera,great device average camera read more
5.0 out of 5 stars,absolutely good,no issues till nowyou can buy students daily use or your parents who are started usetotally worth price read more
4.0 out of 5 stars,best deal at 8000 segment,according price best screen large speakers are loud long lasting batterylight weight usable camera best giving grandparents who want learn using smartphone read more
5.0 out of 5 stars,good entry level phone,good entry level phone good large 67 display large battery android 16 one ui 8 great phone normal use don’t expect much from camera gaming performance as entry level phone read more
5.0 out of 5 stars,good product affordable prices,very good product affordable prices gifting someone special very satisfactory very attractive product at affordable prices read more
4.0 out of 5 stars,good solid phone at pricepoint,marketed as budget phone nonetheless has quality feel midrange product does all essentials well including internet browsing whatsapp etc only slight issue has been dropped wifi connection despite close proximity router itll switch mobile data connection could consume lot data if you dont realise you can change connection settings avoid rapid switching from wifi data read more
5.0 out of 5 stars,quality phone decent specs,phone purchased as gift old person she likes lot phone looks good build quality decent price screen although not fhd panel crisp colourful phone fast enough general applications like whatsapp youtube camera takes good pictures videos speaker loud enough call quality via microphone also very good she doesnt game so not sure about gaming experience i cant comment battery performance as i didnt check shes almost always at home so battery may not be issue her its 4g only phone so no 5g connectivity but doesnt matter us oh will receive six android updatesall all good phone price read more
3.0 out of 5 stars,ok,its ok price but would be great if has 5g read more
4.0 out of 5 stars,phone review after 3 months use,note i have been using phone last 3 months basic usage working well so you can trust normal use ✅ pros1 4g support since 4g coverage widely available phone works well everyday use2 battery 5000 mah battery provides excellent backup easily lasts up 2 days3 display samsung pls lcd display good quality smooth touch response4 performance helio g99 processor delivers good speed daily tasks ❌ cons1 no 5g support phone does not support 5g bands2 camera camera quality average3 limited ram although has 4gb ram only about 1gb usually free may cause issues future android updates multitasking4 performance drop installing many apps may slow down phone due limited ram storage5 software updates samsung promises 6 generations android updates but only 4gb ram 64gb storage future updates may affect performance storage 📌 conclusionthis basic smartphone suitable calling messaging light app usage do not expect high performance or advanced features read more
5.0 out of 5 stars,value money,good quality product read more
4.0 out of 5 stars,little bit slow performence,camera phone best price segment ois good daylight photography perfect camera struggling low light read more
5.0 out of 5 stars,nice phone,good product i can purchase phone phone not gaming but better daily use no lag issue if your budget around 16k i will recommend you read more
5.0 out of 5 stars,samsung galaxy m17 5g mobile good mobile middle range,received instrument 5 hrs thanks quick deliverygood mobile features as camera good charging speed read more
3.0 out of 5 stars,premium look build quality but performance bit slow,pro 1 overall phone good terms build qualitypremium look ui2 camera quality good natural colours if compared chinese brands high camera specificationscons1 phone gets heated quickly normal usage2 performance slowlagging3 battery drains quickly read more
4.0 out of 5 stars,best option budget,look design body size performance specially amoled colors are awesome battery seems little poor but yes overall its good under budget read more
5.0 out of 5 stars,very good,value money read more
4.0 out of 5 stars,average phone samsung m17,average phone average camera battery good once fully charged running 68 hrs fully load standby 3032 hrs display average only 1080 pixel video running not 1440 up heat level good not more heating after playing games other works speed averagegood network connectivitybest net speed read more
5.0 out of 5 stars,great performance best value money phone sleek good battery,its sleek great phone read more
4.0 out of 5 stars,overall you can should buy realme 15x or u can buy also but i suggest realme 15x,first all i would like talk about my realme narzo 80 pro 5g overall very good phone 20–22k inr price range i have been using phone since 17 august 2025 today 28 november 2025—almost 4 months gaming performance very good camera quality also very good bright environments such as sunlight or outdoors especially when taking photos people nature photography also decent also sound quality also good im reading some negative comments but i want tell whomever reading review phone has dual stereo speaker support also 300 voice boost i have 8 gb ram 128 gb storage variant i strongly suggest buying 256 gb storage variant because 128 gb version large portion storage taken by system—around 30–40 gb so you only get about 60–70 gb usable space which quite low modern usage even though phone advertised as 128 gb you don’t actually get full 128 gbin terms performance i did not face any heating issues phone stays cool during normal even heavy tasks only heats slightly while charging which completely normal fastcharging phones connectivity also very good strong wifi bluetooth performance storage transfer speeds are fast as well thanks ufs 31 storagei also appreciate battery capacity which quite good modern phones 6000 mah battery lasts around 20–21 hours moderate usage such as youtube instagram reels or studying pw app however i have one issue screen although display very bright easy use sunlight has excellent color quality i would advise avoiding phones curved displays if curved screen breaks after dropping cemented road or anywhere else very difficult find duplicate replacement screen marketadditionally you cannot expand memory using sd card there no audio jack phone positive side 80w charging amazing—it charges phone up 25 just 10 minutes more than 60 under 30 minutesoverall phone very good but i still recommend checking out realme 15x offers almost same features even better some aspects because doesn’t have curved display realme 15x also comes 60w supervooc charging massive 7000 mah battery which extremely impressive lasts even longer read more
5.0 out of 5 stars,great device at range,worth every penny camera surprisingly good phone lightweight sleek very comfortable buy if p3 ultra p4 are costlier read more
5.0 out of 5 stars,what phone,absolutely amazing mobile i highly recommend mobile if you are looking mid range budget mobile i dont want call as budget mobile because delivering premium qualityit will easily match any flagship mobiles because forget about configuration just look performance display quality giving important then anything else display great touch fantastic battery very good all day long i got refreshed by phone after long period redmi note 14 usage which irritated me lagging experience but phone given me how much i wasted time my previous onethe bgmi play really amazing i dont know how much fps giving but i felt awesome no heat issues you can pick 128gb varient will save 2k only if you are intelligent storage keeper because now days everyone using googleone or other cloud storages if you are reckless user just go 256gb but i only facing one issue phone tampered glass edges are getting dirty scratches easily while taking out from my pocket because curves but issue nothing front my previous phone experiencenote my sincere request everyone not buy redmi phones even top end phonemy previous phone redmi note 14 5g i cant say how much phone irritated me long periodthere are plenty things say about mobile but i cant explain my frustration hereafter 1 year use i exchanged 95k but i purchased at 22k read more
5.0 out of 5 stars,best smartphone under 20k amoled display,amazing phone fast delivery from amazon thankyou one day delivery option best phone amoled display screen fingerprint sensor i ordered 8256gb 20k very lightweight amazing sound quality dual speakers also good camera quality read more
4.0 out of 5 stars,amazing product,amazing battery backup doesnt heat up nice camera sound qualityperformance also great according price overall durable quality product read more
5.0 out of 5 stars,very good 👍,at price phone good 😊 read more
4.0 out of 5 stars,good,product good loved value money read more
5.0 out of 5 stars,marvellous awe inspiring built like steel go,alright everyone please read review carefully as its 6 july 2025 today 23rd august 2025 i will have spent 2 years using these awesome marvellous earbuds these have been 2 years extreme rigorous very very careless usage these earphones are still prime condition needless add im avid consumer music l wear my earbuds almost all day long ive worn them gym while running theyve seen lot sweat lot earwax most days i fall asleep while wearing them get up them either under them or floor ive been very very merciless these earbuds i have not used them i have exploited them after allll theyre still prime condition mic these works extremely well they charge pretty quickly box takes little longer get fully charged but lasts long time call quality voice quality everything awesome their response your touch also very durable awesome happens ever so oftent im gym my phone drenched sweat its screen starts malfunctioning as result i cant take calls but thanks these earphones even after all sweat moisture they respond my touch instantly amd im able take calls gym while driving 2 wheelers 4 wheelers everythingyou know i lost their charging box somewhere so i purchased another set same earphones just box im still using old earbuds new box i have dropped them quite roughly several times one or two times i have thrown them away because i angry due some reason theyre still going one without ounce reduction quality why im calling them marvellous after such rough extreme usage i just cant find any big noticable flaw them but yes ill like add everything depreciates time after 2 years usage their batter life isnt as good as when they were new but sound quality durability its still 90 how when they were newthere may be some people who are extra extra critical would say they give 46 music 3 blah blah blah sound bass dont bother listening nerds wannabe tech gurus go best class marvel engineering gonna be one those few purchases youre gonna be proud over out read more
4.0 out of 5 stars,overall review after 1 year using,one best product bought buy me starting i only had issue fitting earbuds my ear as they were falling but soon after they started fitting perfectly sound quality quite decent battery life also quite good overall product worth buy lives upto its expectation read more
5.0 out of 5 stars,highly recommended,worth buying under ₹1600 budget base quality so good connectivity good 3d spatial audio always enabledcant control sound effect are nice overall best read more
5.0 out of 5 stars,oneplus nord buds 3r stylish sturdy smart ⭐⭐⭐⭐⭐,⭐⭐⭐⭐⭐ absolutely loving these buds great buy 🔥i just picked up these oneplus nord buds 3r from amazon im very impressed here’s quick breakdown help you decide 👇✨ design comfort• case feels incredibly sturdy premium hand sleek finish 👌• buds super lightweight stylish 💎• fit extremely comfortable i can wear them hours without any pain 😌📱 amazing app integration heymelody• official support yes works seamlessly heymelody app 🎉• features you can easily customize touch controls check precise battery levels manage eq settings perfect sound 🎧 so convenient🎮 note gaming mode• while most things are perfect gaming mode has tiny bit latency 🤏• if you are very serious gamer you might notice very minor sound lag during fastpaced games movies music it’s flawless 🎬🎶💰 final verdict• overall toptier product highquality feel 🏆• if you want sleek design great app support perfect choice highly recommended ✅ read more
5.0 out of 5 stars,sound,among myriad audio accessories available market today particular model air buds offered by oneplus stands out remarkably as one preeminent choices its exceptional qualities elevate toptier position within its category making incredibly compelling option discerning users seeking superior sound functionality read more
4.0 out of 5 stars,honest review after 1 week use,i am sharing my honest review after using these earbuds one week previously i used boat nirvana ion so my comparison based experienceprosthe sound quality goodbattery backup playback time also goodthe build quality feels solid premiumfit perfectly ears not loose at allconsthese earbuds do not have eardetection sensor because i have manually pause music before removing earbuds from my ears feature available nirvana ion very usefulthe bluetooth connectivity range seems weak after moving just 4–5 steps away from phone music starts glitching or disconnecting not issue nirvana ion—even from two rooms away stayed connected read more
5.0 out of 5 stars,good experience,unbelievable experience oneplus earbuds sound really osm sound also very smooth doesnt high or low equal so i think one best earbuds under 1800 dont think too much just go read more
3.0 out of 5 stars,good not great missing features,prosgood build quality compact hard strong dual channel mode good battery life average sound qualityconsno light indicator buds know if its or off sometimes earbuds may be turned inside case not having indicators make difficult figure out if its or offtheres only one light indicator case so you cant find out how much battery left case makes you feel like you have keep constantly chargingthe shape buds arent fit my ears boats airdopes 141 fit perfectly but not thisit hurts lil after 45mins useoverall good battery average audio great build quality but compromised features inear fittingaudio 355battery 455fit ear 255 read more
5.0 out of 5 stars,great product,fireboltt aero earbuds offer good sound quality clear vocals decent bass music calls earbuds are lightweight comfortable wear long periods bluetooth connectivity fast stable there are no major connection issues battery backup satisfactory lasts long enough daily use touch controls are responsive easy use overall these earbuds are good budgetfriendly choice everyday listening calling read more
4.0 out of 5 stars,very good product 700 rs,using weekgreat budget tws earbuds daily uselightweight comfortable making them easy wear long hourssound quality good price though not very premiumcall quality decent normal environmentsbattery backup impressive lasting many hours charging caseconnectivity stablecharging cable received only bad part being very tight not working sometimesmanual hard copy missing i guess read more
3.0 out of 5 stars,all,good quality read more
5.0 out of 5 stars,its very good 🔥🔥🔥,fireboltt firepods aero are stylish lightweight wireless earbuds deliver good listening experience everyday use design modern compact charging case looks premium smooth glossy finish led indicatorthe earbuds fit comfortably ears are suitable long listening sessions without discomfort sound quality clear decent bass making them good music movies calls bluetooth connectivity stable pairs quickly smartphonesanother good feature long battery life allowing several hours playback single charge while charging case provides additional backup power touch controls are responsive make easy play music pause or answer callsoverall fireboltt firepods aero are good budgetfriendly option people looking stylish wireless earbuds decent sound quality reliable performance⭐ prosstylish compact designcomfortable fitgood sound claritystable bluetooth connectionportable charging case read more
4.0 out of 5 stars,great budgeting friendly purchase,sound quality surprisingly good price clear audio decent bass i also really liked color built quality feels strong premium overall great budgetfriendly option read more
3.0 out of 5 stars,call,okay so its control sound good but i am facing issues call during conversation my voice doesnt reach receiver catches background noises more not effective calling read more
4.0 out of 5 stars,good quality product,good sound quality comfortable wear price range battery lifee decent case compact easy connect works well music calls worth buying 🔥 read more
3.0 out of 5 stars,sound good but case quality good,sound quality good but case quality not up mark kindly improve case quality like scratches read more
5.0 out of 5 stars,great protection style my airdopes 300,i recently purchased silicone case cover my airdopes 300 im very pleased case has softtouch feel fits perfectly around earbuds’ charging case providing excellent protection from scratches minor drops i love color options went navy blue which looks sleek doesn’t show dirt easilythe case has builtin carabiner making easy clip onto my bag or belt loop when i’m go only minor downside cover can sometimes be little difficult clean if dirt gets trapped silicone but it’s not big issue overall its fantastic accessory keeping my airdopes safe looking stylish highly recommend read more
1.0 out of 5 stars,,product kharab haies chain nhi hai rabbar ka hai read more
4.0 out of 5 stars,buds,amazing product i want like same product my buds safety gave premium loook provide case read more
5.0 out of 5 stars,good,very good product read more
1.0 out of 5 stars,mo item its just cover,its dammy nothing there cover ad there no blootooth its just cover read more
5.0 out of 5 stars,quality❤️‍🔥,i recently bought boat airdopes 300 case cover protect my earbuds case i must say it’s great purchase case cover made durable highquality silicone feels premium offers excellent protection fits boat airdopes 300 case perfectly providing snug secure fit prevents any accidental slips or drops i don’t have worry about my charging case getting scratched or damaged read more
1.0 out of 5 stars,very,very bad read more
3.0 out of 5 stars,average,oka okay product not as expected but price one okay read more
5.0 out of 5 stars,sarround sound best experience,very nice product budget price surround sound great read more
4.0 out of 5 stars,earbuds really good,i am using 3 months but really doesnt disappoint me infact product quite handy useful sound quality also good battery also better i think can last 56 hoursthe only problem i faced i cant really control voice i speak google or ai i think good talking calls read more
5.0 out of 5 stars,bluetooth,very good sound mic battery are good product so good read more
4.0 out of 5 stars,high volume,product good quality also good at price range overall its good but bass too high something hides vocals full or more than half volume sound comes outside such as music playing mobile speaker low volume dont use these more than 60 volume otherwise can lead hearing long time read more
5.0 out of 5 stars,must try earpods,best product music lovers sound just wow worth money noise cancellation superb👌👌 totally liked product 🫶 read more
3.0 out of 5 stars,design built quality best but voice clarity bass not as much as good,im giving as 3stars because1 built quality good2design very good3battery life also good4 range pods are best part5connectivity pretty fastthe reason not giving remaining 2 stars js1 i didnt like voice clarity pods no clarity while listening songs 2and bass not pretty good price range3the length pords are pretty bigthe major issue i have faced company right side pod high volume left side pod volume low while listening songs music high voice low some songs voice high music low there no stability herei highly recommend take time go high priced pods clarity bass purpose read more
5.0 out of 5 stars,impressive performance budget,i’ve been using these earbuds while now i’m honestly impressed sound quality clear good bass making music calls really enjoyable battery life solid easily lasts through my daily use without frequent charging price they offer great performance feel like true valueformoney product definitely good buy if you want reliable goodsounding earbuds without spending too much read more
4.0 out of 5 stars,good product,good sound quality read more
4.0 out of 5 stars,nice product,everything finegood fit ear comfortablesound quality very nice at pricenice finishing buti give 4 star only because low battery backup sound leakage read more
4.0 out of 5 stars,good product,product quality good standard sound quality bass also good reasonable price as per quality read more
3.0 out of 5 stars,feedback,i purchased boat earbuds but unfortunately my experience has been very disappointing please find my feedback belowthere no proper indication know whether earbuds are fully charged or how much battery percentage currently available makes charging very inconvenientthe total battery life only around 12 hours even if i charge earbuds morning at 8 am they completely stop working by around 7–8 pmthe touch sensitivity very poor even slight accidental touch pauses music or video overall touch controls do not work properlymost importantly after using earbuds some time audio starts breaking continuously whether i am listening music or watching videos sound keeps cutting off which makes them very difficult useoverall product does not perform as expected needs significant improvement quality performancevijay mishra vadodara read more
4.0 out of 5 stars,boat airdopes 219,nice productsone features are lacking but its bass good battery holy ezz 8 hrs although its nice read more
3.0 out of 5 stars,pros cons,not good ive used many boat products since last 9 years first boat product actually i didnt like because connection gets week while driving bike if phone around 10 steps away only issue i am facing right now used one more than 3 months i believe still great shape yes i noticed latency while playing bgmi aswell apart form above sound quality built quality good yes i dropped like 3 4 times i i like its over but not great built quality read more
4.0 out of 5 stars,sounds are distorted some times please solves issues future thanks you boat,i bought boat airdopes 219 its good product but some problems face sounds good no doubt but when play music watch movies sounds are distorted others no connecting problems no other issues thank you boat read more
3.0 out of 5 stars,about bass comfortness,bass thoda jyada hai aur ear main bhi uncomfort lagta hai as compare boat 219 boat 141 comfortablelook bohot premium hai read more
4.0 out of 5 stars,bass🔊📈,bass goodgood quality good design read more
